user_id,plan_id,purchase_type,purchased_at,amount
u0001643,1-month,sale,2019-07-02 15:49:52.000000,3.89
u0010384,1-month,sale,2019-06-08 06:00:26.000000,4.3
u0017619,12-months,sale,2019-06-11 06:29:00.000000,26.91
u0008044,12-months,sale,2019-06-07 15:30:32.000000,25.84
u0025405,12-months,sale,2019-06-09 19:20:52.000000,25.85
u0001048,1-month,sale,2019-09-13 13:46:26.000000,4.38
u0003087,6-months,sale,2019-06-21 16:10:17.000000,12.89
u0006057,6-months,sale,2019-06-23 00:29:36.000000,12.92
u0015915,1-month,sale,2019-06-24 02:17:00.000000,4.26
u0013883,6-months,sale,2019-08-16 19:29:43.000000,13.17
u0000136,12-months,sale,2019-06-13 20:42:53.000000,25.86
u0021989,6-months,sale,2019-06-26 20:00:21.000000,12.84
u0027790,6-months,sale,2019-06-23 15:12:00.000000,11.67
u0009903,6-months,sale,2019-06-18 09:13:17.000000,12.06
u0023766,6-months,sale,2019-06-27 00:22:55.000000,14.97
u0020971,1-month,sale,2019-06-17 17:31:41.000000,4.05
u0006185,1-month,sale,2019-06-22 20:44:52.000000,4.3
u0015720,6-months,sale,2019-07-16 03:09:46.000000,13.0
u0003169,1-month,sale,2019-06-09 16:33:31.000000,4.3
u0024177,1-month,sale,2019-07-26 14:09:14.000000,4.36
u0013147,12-months,sale,2019-06-29 09:04:19.000000,25.85
u0020080,6-months,sale,2019-06-28 11:57:23.000000,14.97
u0007134,6-months,sale,2019-06-20 22:15:03.000000,14.9
u0013907,6-months,sale,2019-06-22 16:15:20.000000,11.67
u0004397,6-months,sale,2019-06-15 20:40:19.000000,12.92
u0000983,6-months,sale,2019-06-23 18:30:28.000000,12.92
u0003100,6-months,sale,2019-06-23 10:59:02.000000,14.95
u0028312,1-month,sale,2019-06-16 23:23:50.000000,4.3
u0004391,6-months,sale,2019-06-14 20:35:29.000000,12.95
u0024301,1-month,sale,2019-06-23 16:34:31.000000,3.41
u0001734,12-months,sale,2019-06-27 02:16:18.000000,25.67
u0004792,12-months,sale,2019-08-18 17:19:48.000000,25.41
u0028207,1-month,sale,2019-06-14 20:19:43.000000,3.41
u0004382,1-month,sale,2019-06-24 08:22:01.000000,4.6
u0000574,1-month,sale,2019-06-12 21:35:34.000000,4.62
u0022560,1-month,sale,2019-07-04 19:04:33.000000,4.3
u0012548,1-month,sale,2019-06-15 17:06:39.000000,4.3
u0001063,1-month,sale,2019-09-12 02:59:06.000000,4.43
u0024271,12-months,sale,2019-06-20 19:26:37.000000,25.82
u0024225,6-months,sale,2019-06-18 00:22:58.000000,13.04
u0013886,6-months,sale,2019-06-19 03:13:42.000000,13.02
u0022539,1-month,sale,2019-06-19 20:53:13.000000,4.33
u0022018,6-months,sale,2019-06-20 19:50:40.000000,12.9
u0013962,6-months,sale,2019-07-01 12:58:34.000000,12.86
u0011945,1-month,sale,2019-10-06 10:23:53.000000,4.01
u0026801,6-months,sale,2019-06-10 16:26:30.000000,18.08
