user_id,signup_date
u0022045,2019-06-11 06:52:13.276000
u0022046,2019-06-11 14:10:37.779000
u0022047,2019-06-11 18:49:42.843000
u0022048,2019-06-11 20:47:50.060000
u0022049,2019-06-12 00:24:08.810000
u0022050,2019-06-12 08:41:59.439000
u0022051,2019-06-12 12:33:16.971000
u0022052,2019-06-12 16:00:59.008000
u0022053,2019-06-12 16:27:58.554000
u0022054,2019-06-12 18:14:36.850000
u0022055,2019-06-12 22:18:06.666000
u0022056,2019-06-13 04:34:26.073000
u0022057,2019-06-13 06:11:29.527000
u0022058,2019-06-13 09:46:17.752000
u0022059,2019-06-13 11:50:41.004000
u0022060,2019-06-13 15:20:22.245000
u0022061,2019-06-13 19:04:55.427000
u0022062,2019-06-13 20:44:57.447000
u0022063,2019-06-14 01:13:14.255000
u0022064,2019-06-14 04:31:10.950000
u0022065,2019-06-14 14:10:10.717000
u0022066,2019-06-14 17:02:40.265000
u0022067,2019-06-14 20:32:27.377000
u0022068,2019-06-14 23:19:57.477000
u0022069,2019-06-15 04:22:20.978000
u0022070,2019-06-15 09:48:35.939000
u0022071,2019-06-15 11:50:00.883000
u0022072,2019-06-15 13:50:19.177000
u0022073,2019-06-15 17:26:32.860000
u0022074,2019-06-15 21:08:45.608000
u0022075,2019-06-16 00:43:55.381000
u0022076,2019-06-16 08:26:10.099000
u0022077,2019-06-16 12:59:12.023000
u0022078,2019-06-16 15:16:34.256000
u0022079,2019-06-16 18:04:33.958000
u0022080,2019-06-16 19:51:11.752000
u0022081,2019-06-16 22:03:48.747000
u0022082,2019-06-17 00:24:02.293000
u0022083,2019-06-17 03:18:22.692000
u0022084,2019-06-17 10:09:14.018000
u0022085,2019-06-17 14:17:35.723000
u0022086,2019-06-17 20:52:55.150000
u0022087,2019-06-17 20:25:50.531000
u0022088,2019-06-18 00:08:01.110000
u0022089,2019-06-18 00:48:43.454000
u0022090,2019-06-18 08:48:53.631000
u0022091,2019-06-18 13:39:46.012000
u0022092,2019-06-18 16:15:47.973000
u0022093,2019-06-18 17:29:48.460000
u0022094,2019-06-18 18:20:55.392000
u0022095,2019-06-20 08:36:22.032000
u0022096,2019-06-18 23:09:27.985000
u0022097,2019-06-19 02:29:23.468000
u0022098,2019-06-19 04:03:47.201000
u0022099,2019-06-19 06:07:54.095000
u0022100,2019-06-19 12:06:13.999000
u0022101,2019-06-19 16:52:51.328000
u0022102,2019-06-19 02:34:09.684000
u0022103,2019-06-19 05:19:52.063000
u0022104,2019-06-19 09:14:59.152000
u0022105,2019-06-19 13:00:08.621000
u0022106,2019-06-19 22:06:15.212000
u0022107,2019-06-19 23:38:57.478000
u0022108,2019-06-20 08:18:57.701000
u0022109,2019-06-20 12:26:14.231000
u0022110,2019-06-20 17:41:11.583000
u0022111,2019-06-20 20:36:38.204000
u0022112,2019-06-20 23:43:09.529000
u0022113,2019-06-21 01:51:08.012000
u0022114,2019-06-21 04:10:11.670000
u0022115,2019-06-21 12:44:57.028000
u0022116,2019-06-21 14:48:27.171000
u0022117,2019-06-21 17:45:34.362000
u0022118,2019-06-21 20:23:07.222000
u0022119,2019-06-21 22:31:18.249000
u0022120,2019-06-22 03:27:28.267000
u0022121,2019-06-22 10:25:38.024000
u0022122,2019-06-22 14:01:35.845000
u0022123,2019-06-22 17:16:39.751000
u0022124,2019-06-22 18:29:18.989000
u0022125,2019-06-22 23:34:37.918000
u0022126,2019-06-23 04:02:24.038000
u0022127,2019-06-23 10:04:47.777000
u0022128,2019-06-23 16:13:03.827000
u0022129,2019-06-23 20:29:51.363000
u0022130,2019-06-23 22:37:39.263000
u0022131,2019-06-23 23:31:06.649000
u0022132,2019-06-24 03:50:04.408000
u0022133,2019-06-24 12:34:39.122000
u0022134,2019-06-17 09:29:55.796000
u0022135,2019-06-13 15:39:54.184000
u0022136,2019-06-06 17:09:07.525000
u0022137,2019-06-06 20:01:17.366000
u0022138,2019-06-07 00:09:43.122000
u0022139,2019-06-07 11:10:00.358000
u0022140,2019-06-07 13:04:00.548000
u0022141,2019-06-07 15:13:03.056000
u0022142,2019-06-07 17:41:36.724000
u0022143,2019-06-07 19:01:18.525000
u0022144,2019-06-07 22:31:13.847000
u0022145,2019-06-08 04:15:23.902000
u0022146,2019-06-08 10:21:06.078000
u0022147,2019-06-08 19:52:39.296000
u0022148,2019-06-09 00:08:20.600000
u0022149,2019-06-09 07:09:02.872000
u0022150,2019-06-09 08:55:44.792000
u0022151,2019-06-09 12:54:48.197000
u0022152,2019-06-09 14:41:50.320000
u0022153,2019-06-09 15:35:22.349000
u0022154,2019-06-09 22:17:33.051000
u0022155,2019-06-09 23:47:03.790000
u0022156,2019-06-10 01:35:54.575000
u0022157,2019-06-10 07:01:32.348000
u0022158,2019-06-10 12:18:41.913000
u0022159,2019-06-10 13:50:50.641000
u0022160,2019-06-10 19:12:13.298000
u0022161,2019-06-10 20:53:06.774000
u0022162,2019-06-10 23:10:59.280000
u0022163,2019-06-11 05:05:40.428000
u0022164,2019-06-11 10:57:41.911000
u0022165,2019-06-11 16:34:18.344000
u0022166,2019-06-11 19:11:33.567000
u0022167,2019-06-12 00:00:31.390000
u0022168,2019-06-13 19:03:13.247000
u0022169,2019-06-12 06:25:07.277000
u0022170,2019-06-12 13:49:47.501000
u0022171,2019-06-12 21:45:02.559000
u0022172,2019-06-12 23:26:13.566000
u0022173,2019-06-13 05:34:24.512000
u0022174,2019-06-13 09:54:27.752000
u0022175,2019-06-13 14:02:11.402000
u0022176,2019-06-13 17:57:38.333000
u0022177,2019-06-14 05:26:03.880000
u0022178,2019-06-14 09:16:05.976000
u0022179,2019-06-14 13:40:27.222000
u0022180,2019-06-14 16:37:34.850000
u0022181,2019-06-14 18:37:42.434000
u0022182,2019-06-14 21:42:50.542000
u0022183,2019-06-14 23:42:20.246000
u0022184,2019-06-15 06:29:12.830000
u0022185,2019-06-15 11:22:56.887000
u0022186,2019-06-15 13:02:18.550000
u0022187,2019-06-15 13:41:56.988000
u0022188,2019-06-15 18:26:03.533000
u0022189,2019-06-15 21:14:24.114000
u0022190,2019-06-16 04:38:44.321000
u0022191,2019-06-16 07:48:17.407000
u0022192,2019-06-16 12:07:30.503000
u0022193,2019-06-16 13:59:23.022000
u0022194,2019-06-18 01:52:38.344000
u0022195,2019-06-16 17:20:02.216000
u0022196,2019-06-16 19:53:42.030000
u0022197,2019-06-16 23:01:31.362000
u0022198,2019-06-17 02:54:01.126000
u0022199,2019-06-17 07:16:18.684000
u0022200,2019-06-17 10:53:48.029000
u0022201,2019-06-17 12:09:28.906000
u0022202,2019-06-17 14:47:08.738000
u0022203,2019-06-17 17:59:49.927000
u0022204,2019-06-17 19:49:11.349000
u0022205,2019-06-17 21:35:25.123000
u0022206,2019-06-18 02:07:52.936000
u0022207,2019-06-18 07:47:01.689000
u0022208,2019-06-18 12:49:39.151000
u0022209,2019-06-18 16:20:35.251000
u0022210,2019-06-18 19:26:13.291000
u0022211,2019-06-18 23:37:18.600000
u0022212,2019-06-19 04:10:01.944000
u0022213,2019-06-19 06:02:58.763000
u0022214,2019-06-19 12:57:05.779000
u0022215,2019-06-19 15:29:47.647000
u0022216,2019-06-19 17:50:40.129000
u0022217,2019-06-20 02:17:34.893000
u0022218,2019-06-20 08:11:01.005000
u0022219,2019-06-20 15:06:06.268000
u0022220,2019-06-20 14:54:55.183000
u0022221,2019-06-20 16:46:42.131000
u0022222,2019-06-20 18:59:36.263000
u0022223,2019-06-20 20:08:21.053000
u0022224,2019-06-20 21:50:23.097000
u0022225,2019-06-20 23:56:16.094000
u0022226,2019-06-21 01:10:12.244000
u0022227,2019-06-21 03:27:08.902000
u0022228,2019-06-21 12:45:36.814000
u0022229,2019-06-21 17:04:57.575000
u0022230,2019-06-21 18:00:35.162000
u0022231,2019-06-21 20:37:44.929000
u0022232,2019-06-21 23:13:42.963000
u0022233,2019-06-22 07:57:48.757000
u0022234,2019-06-22 10:39:54.200000
u0022235,2019-06-22 12:47:52.435000
u0022236,2019-06-22 15:25:51.330000
u0022237,2019-06-22 18:42:22.651000
u0022238,2019-06-22 21:14:54.512000
u0022239,2019-06-22 23:21:16.997000
u0022240,2019-06-23 05:00:10.322000
u0022241,2019-06-23 09:18:47.539000
u0022242,2019-06-23 12:51:51.365000
u0022243,2019-06-23 19:22:37.391000
u0022244,2019-06-23 22:13:46.732000
u0022245,2019-06-24 02:31:49.633000
u0022246,2019-06-24 10:10:20.830000
u0022247,2019-06-24 13:41:35.608000
u0022248,2019-06-08 18:47:59.289000
u0022249,2019-06-06 13:25:14.549000
u0022250,2019-06-07 00:55:12.846000
u0022251,2019-06-07 05:27:34.778000
u0022252,2019-06-07 13:59:58.104000
u0022253,2019-06-07 18:33:14.903000
u0022254,2019-06-08 00:52:12.815000
u0022255,2019-06-08 05:04:42.287000
u0022256,2019-06-08 07:27:36.270000
u0022257,2019-06-08 12:56:44.066000
u0022258,2019-06-10 18:17:46.007000
u0022259,2019-06-09 02:22:00.522000
u0022260,2019-06-09 02:01:08.262000
u0022261,2019-06-16 13:57:25.512000
u0022262,2019-06-16 15:08:13.718000
u0022263,2019-06-16 18:52:40.734000
u0022264,2019-06-16 21:59:40.935000
u0022265,2019-06-17 03:59:45.821000
u0022266,2019-06-17 09:18:52.807000
u0022267,2019-06-17 12:38:52.891000
u0022268,2019-06-17 18:30:45.434000
u0022269,2019-06-17 21:48:45.329000
u0022270,2019-06-17 22:30:27.443000
u0022271,2019-06-18 00:36:25.121000
u0022272,2019-06-18 03:29:10.004000
u0022273,2019-06-18 12:16:01.115000
u0022274,2019-06-18 14:24:19.049000
u0022275,2019-06-18 18:36:59.303000
u0022276,2019-06-18 19:53:45.535000
u0022277,2019-06-18 21:24:00.121000
u0022278,2019-06-18 22:13:34.737000
u0022279,2019-06-19 00:16:49.663000
u0022280,2019-06-19 03:59:02.328000
u0022281,2019-06-19 08:04:27.838000
u0022282,2019-06-19 11:17:05.106000
u0022283,2019-06-19 15:39:56.673000
u0022284,2019-06-19 17:18:20.914000
u0022285,2019-06-19 19:03:21.705000
u0022286,2019-06-19 22:30:15.135000
u0022287,2019-06-20 00:39:42.491000
u0022288,2019-06-20 09:24:05.275000
u0022289,2019-06-20 14:16:18.532000
u0022290,2019-06-20 16:20:58.395000
u0022291,2019-06-20 21:00:06.800000
u0022292,2019-06-20 20:10:31.014000
u0022293,2019-06-20 21:42:21.148000
u0022294,2019-06-21 03:10:06.364000
u0022295,2019-06-21 08:00:36.263000
u0022296,2019-06-21 11:32:26.493000
